"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","26.8","16","36.9","38","15.8","191","0.812","193","0.601","173","0.341","0.559","0.627","35.3","8.9","8.9","1.6","0.6","4.3","44.1","44.2","53.1","15.3","123","108.4"
"","Shai Gilgeous-Alexander","Okc","*","G","27.4","21","33.5","33.2","8.2","213","0.887","306","0.592","107","0.411","0.598","0.674","32.5","4.8","6.6","1.5","0.7","1.8","37.3","39.1","43.9","12.1","137.8","103.8"
"","Tyrese Maxey","Phi","*","G","25.1","19","40.7","30.2","10.8","154","0.877","251","0.53","185","0.384","0.549","0.609","32.3","4.8","7.6","1.5","0.8","2.8","37.1","39.9","44.7","10.4","124.7","114.4"
"","Giannis Antetokounmpo","Mil","*","F","31","16","30.8","37.6","16","165","0.63","271","0.657","23","0.435","0.656","0.668","30.6","10.7","6.4","1","1","3.5","41.3","37.1","47.8","16.6","129.1","109"
"","Donovan Mitchell","Cle","*","G","29.2","20","34.3","32.5","13.8","129","0.829","210","0.624","207","0.391","0.606","0.646","30.6","5","5.5","1.4","0.3","3.4","35.6","36.1","41.1","11","122.2","111.4"
"","Nikola Jokic","Den","*","C","30.8","20","34.8","28.5","17.3","142","0.852","239","0.695","96","0.438","0.684","0.728","29","12.8","11.1","1.5","0.8","3.5","41.8","40","52.8","18.4","145.1","105.7"
"","Anthony Edwards","Min","*","G","24.3","16","33.3","32.6","11.7","115","0.826","181","0.552","137","0.409","0.579","0.628","28.9","4.5","3.9","1.3","0.6","2.6","33.4","32.8","37.3","9.6","121.6","112.3"
"","Jalen Brunson","Nyk","*","G","29.3","17","34.4","31.8","10.2","108","0.861","233","0.536","127","0.37","0.543","0.594","28.5","3.4","6.2","0.7","0.1","2.4","31.8","34.7","38.1","9.8","124","112.4"
"","Jaylen Brown","Bos","*","G-F","29.1","20","33.1","36.4","14.3","136","0.765","313","0.543","118","0.347","0.537","0.578","28.4","6.2","4.8","1.2","0.4","3.6","34.5","33.2","39.3","11.4","113.5","108.7"
"","Cade Cunningham","Det","*","G","24.2","18","36.8","32.8","16.2","139","0.82","281","0.52","113","0.301","0.5","0.558","28.2","6.5","9.3","1.5","0.8","4.2","34.7","37.5","44","13","115.3","105.8"
"","Austin Reaves","Lal","*","G","27.5","17","36.6","28.2","16.5","154","0.883","154","0.649","129","0.364","0.602","0.68","28.1","5.7","6.6","1.2","0.1","3.3","33.8","34.6","40.4","11.1","130.1","111.8"
"","Lauri Markkanen","Uta","*","F-C","28.5","20","35.6","27.7","5.9","138","0.899","227","0.551","172","0.36","0.546","0.609","28","6.4","2.1","0.9","0.4","1.3","34.4","30.1","36.4","8.1","126.8","120"
"","Stephen Curry","Gol","*","G","37.7","16","31","33.9","13.9","86","0.919","118","0.602","192","0.391","0.592","0.641","27.9","3.7","4","1.3","0.6","3.1","31.6","31.9","35.6","9.6","116.7","110.5"
"","James Harden","Lac","*","G","36.3","20","35.1","31.6","19.1","180","0.906","152","0.52","195","0.369","0.539","0.63","26.9","5.7","8.4","1","0.4","4.1","32.6","35.3","41","12.4","121.4","118.6"
"","Kawhi Leonard","Lac","*","F","34.4","11","31.2","31.3","10","61","0.967","135","0.556","62","0.435","0.586","0.648","26.4","5.5","2.8","2.1","0.4","2","31.8","29.2","34.6","9.5","123.2","116.2"
"","Victor Wembanyama","San","*","F-C","21.9","12","34.7","30.8","16.3","84","0.857","163","0.558","58","0.345","0.548","0.609","26.2","12.9","4","1.1","3.6","3.6","39.1","30.2","43.1","12.7","116.7","100.7"
"","Deni Avdija","Por","*","F","24.9","20","34.1","28.1","17.2","180","0.806","201","0.542","135","0.378","0.552","0.621","25.8","7.1","5.8","0.6","0.7","3.5","32.9","31.6","38.6","12","122.2","112.3"
"","Kevin Durant","Hou","*","F","37.2","16","36","26.7","14.8","114","0.877","200","0.535","77","0.377","0.543","0.613","25.1","5.1","3.4","1.1","0.6","3","30.2","28.5","33.6","8.4","121.8","109"
"","Devin Booker","Pho","*","G","29.1","22","34.7","30.2","17.3","175","0.874","268","0.522","124","0.315","0.506","0.586","25","4.3","6.7","0.9","0.4","3.7","29.3","31.7","36","10.3","117.6","112"
"","Norman Powell","Mia","*","G","32.5","17","30.6","27.5","10.7","103","0.883","157","0.548","118","0.458","0.607","0.663","25","3.7","2.4","1.2","0.2","1.9","28.7","27.4","31.1","7.9","122.8","108.5"
"","Michael Porter Jr.","Bro","*","F","27.4","17","32.8","29.5","10.3","77","0.818","163","0.583","149","0.383","0.579","0.613","24.9","7.4","3.1","0.8","0.2","2.1","32.3","28","35.4","10.1","117.9","116.2"
"","Tyler Herro","Mia","*","G","25.9","4","30.9","25.1","5.8","17","0.941","41","0.537","24","0.542","0.638","0.683","24.8","4.8","2.8","1","0.8","1","29.5","27.5","32.3","9","132.2","110.4"
"","Coby White","Chi","*","G","25.8","5","30.7","31.4","14.9","37","0.811","41","0.561","44","0.341","0.535","0.597","24.2","3","6.2","0.8","0","3","27.2","30.4","33.4","10","115.2","116.3"
"","De'Aaron Fox","San","*","G","28","11","33.4","29.2","15.5","61","0.852","122","0.566","68","0.368","0.561","0.611","24.1","3.5","6.6","1.4","0.4","3.2","27.5","30.7","34.2","9.9","120.7","110.6"
"","Pascal Siakam","Ind","*","F","31.7","20","34.3","28.5","10.7","144","0.674","271","0.531","96","0.333","0.523","0.559","24.1","7.2","4.3","1.3","0.6","2.2","31.3","28.3","35.5","10.6","113.5","111"
"","Jamal Murray","Den","*","G","28.8","19","34.8","26.3","12.5","76","0.895","194","0.531","135","0.415","0.568","0.61","23.3","4.5","6.7","1.1","0.3","2.5","27.7","30","34.5","10.2","123.5","115.1"
"","Jalen Johnson","Atl","*","F","24","20","34.9","26.1","17.5","123","0.789","230","0.583","80","0.413","0.592","0.637","23.2","10","7.3","1.6","0.4","3.3","33.2","30.5","40.5","13.7","121.1","107.7"
"","Julius Randle","Min","*","F-C","31","20","33.5","26.9","14.9","134","0.813","209","0.574","104","0.356","0.561","0.618","23","7.5","6","1.2","0.2","2.8","30.5","29","36.5","12.1","124.4","108.9"
"","Franz Wagner","Orl","*","F","24.3","21","34.5","25.7","10.8","151","0.828","250","0.532","89","0.337","0.525","0.593","22.9","6.4","3.7","1.1","0.4","2","29.3","26.6","33","9.5","122.5","108.9"
"","Keyonte George","Uta","*","G","22.1","20","34.1","27.3","18.4","140","0.893","191","0.529","132","0.326","0.512","0.593","22.8","4","6.9","1","0.3","3.7","26.8","29.7","33.7","10.1","115.4","117.9"
"","Alperen Sengun","Hou","*","C","23.4","18","36.2","25.9","16.5","123","0.732","248","0.524","51","0.392","0.535","0.581","22.8","9.1","7.3","1.2","1.1","3.3","31.8","30.1","39.2","12.7","124.1","105.6"
"","Dillon Brooks","Pho","*","G-F","29.9","16","31.4","29.1","11.8","65","0.846","161","0.571","122","0.32","0.532","0.571","22.3","3.1","1.8","1.7","0.1","2.4","25.4","24","27.1","6.4","109.2","107.3"
"","Zion Williamson","Nor","*","F","25.4","10","30.9","29.8","17.6","101","0.723","142","0.521","3","0","0.51","0.583","22.1","5.6","4","1.6","0.5","3.1","27.7","26.1","31.7","10.2","114.7","117.8"
"","Paolo Banchero","Orl","*","F","23.1","12","32.8","27.4","15.2","111","0.766","134","0.53","44","0.25","0.492","0.573","21.7","8.7","4.1","0.8","0.9","2.7","30.3","25.8","34.4","11.2","114","106.3"
"","Miles Bridges","Cha","*","F","27.7","21","35","25.2","8","102","0.863","199","0.503","168","0.333","0.501","0.554","21.7","6.1","3.5","0.6","0.6","1.5","27.8","25.2","31.3","8.8","117.2","116.8"
"","Karl-Anthony Towns","Nyk","*","C-F","30","19","33.4","26.3","14.8","131","0.878","193","0.513","101","0.327","0.505","0.586","21.7","11.9","3.3","0.8","0.8","2.7","33.6","25","36.9","11.4","121.2","102.5"
"","Brandon Ingram","Tor","*","F","28.2","21","33.9","27.5","15.2","106","0.821","256","0.535","96","0.313","0.517","0.566","21.5","5.7","3.7","1","0.6","3","27.2","25.2","30.9","9.1","105.9","109.9"
"","Cam Thomas","Bro","*","G","24.1","8","28.3","32.7","10.8","55","0.873","87","0.425","45","0.356","0.462","0.544","21.3","1.4","2.6","0.5","0.1","2","22.6","23.9","25.3","6","108.4","121.3"
"","Bennedict Mathurin","Ind","*","G-F","23.5","10","32.6","26.4","17.4","70","0.8","84","0.476","63","0.397","0.527","0.593","21.1","5.5","2.3","0.7","0.1","3.1","26.6","23.4","28.9","7.9","108.1","111.7"
"","Anthony Davis","Dal","*","F-C","32.7","7","30","26.9","9.2","36","0.75","92","0.576","16","0.313","0.56","0.598","21.1","9.9","2.9","1.3","1.6","1.6","31","24","33.9","11.3","121.9","105.2"
"","Shaedon Sharpe","Por","*","G","22.5","16","27.7","31.9","14","82","0.78","174","0.552","103","0.252","0.487","0.533","20.9","4.8","2","1.3","0.3","2.8","25.6","22.9","27.6","8.5","103.9","112.6"
"","Zach LaVine","Sac","*","G","30.7","19","33.8","24","12.9","69","0.855","154","0.591","135","0.378","0.58","0.617","20.7","3.2","2.4","0.7","0.1","2.3","23.9","23.2","26.3","6.4","110.7","119.2"
"","Josh Giddey","Chi","*","G","23.1","18","34.1","26","19.3","107","0.738","187","0.508","85","0.4","0.537","0.581","20.6","9.9","9.1","1.1","0.4","3.6","30.6","29.7","39.7","14.4","116.4","112.5"
"","Nickeil Alexander-Walker","Atl","*","G","27.2","20","32.8","24.5","13.1","85","0.859","155","0.535","143","0.392","0.56","0.607","20.4","3.4","3.5","1","0.9","2.3","23.7","23.9","27.2","7.6","113.7","113.9"
"","Jimmy Butler","Gol","*","F","36.2","19","31.7","22.3","10.8","153","0.856","184","0.549","39","0.436","0.567","0.661","20.2","5.8","5.2","1.6","0.3","1.4","26","25.4","31.2","10.7","141.7","113.5"
"","Scottie Barnes","Tor","*","F-G","24.3","21","33.4","24","13.2","78","0.859","244","0.541","70","0.414","0.559","0.6","19.9","8","5","1.4","1.6","2.3","27.9","24.9","32.8","11.1","120.6","104.8"
"","Trey Murphy III","Nor","*","F","25.5","19","35.5","21.5","12.9","70","0.929","125","0.568","151","0.371","0.562","0.611","19.7","6.2","3.2","1.7","0.2","2.2","25.9","22.9","29.1","8.2","119.8","118.3"
"","Jalen Duren","Det","*","C","22","18","29.3","23","19.5","127","0.764","194","0.66","0","0","0.66","0.706","19.6","11.8","1.9","0.8","1","2.6","31.4","21.5","33.3","10.4","132.3","101.3"
"","Joel Embiid","Phi","*","C-F","31.7","7","24.3","34","15.1","43","0.814","70","0.529","31","0.29","0.5","0.567","19.4","5.3","3.1","0.9","1.4","2.6","24.7","22.6","27.9","11.2","111.4","109.7"
"","RJ Barrett","Tor","*","F-G","25.5","17","30.9","24.1","9.9","80","0.725","150","0.593","87","0.356","0.572","0.604","19.4","4.8","3.8","0.8","0.2","1.5","24.2","23.1","27.9","9.2","119.7","108.2"
"","Bam Adebayo","Mia","*","C-F","28.4","15","30.4","24.5","11","74","0.811","139","0.518","78","0.372","0.532","0.583","19.4","8.9","2.6","1","0.9","1.8","28.3","22","30.9","10.1","114.6","107.9"
"","Desmond Bane","Orl","*","G","27.4","21","32.8","24.1","13.1","91","0.934","207","0.522","105","0.324","0.51","0.572","19.2","4.6","4.5","0.8","0.3","2.2","23.8","23.7","28.3","9","117.2","107.6"
"","Jerami Grant","Por","*","F","31.7","19","29","24","14.4","128","0.852","131","0.489","107","0.393","0.534","0.617","19.1","3.5","2.4","0.8","0.5","2.1","22.6","21.5","25","7.5","122.2","112.5"
"","Alexandre Sarr","Was","*","C","20.6","16","29.7","26.5","12.4","59","0.627","189","0.561","52","0.346","0.552","0.568","18.9","8.6","3.3","0.8","2","2.1","27.5","22.2","30.8","10.9","112.9","118.7"
"","LaMelo Ball","Cha","*","G","24.3","14","29.6","31.5","16.3","56","0.875","121","0.471","120","0.283","0.448","0.499","18.9","6.1","8.9","1.2","0.2","3.4","25.1","27.8","33.9","13.6","109","108.8"
"","Evan Mobley","Cle","*","C","24.5","21","34.1","22.7","14.9","120","0.608","201","0.557","90","0.367","0.555","0.576","18.9","9","4.1","1","1.6","2.4","27.9","23","32","10.4","116.3","109.8"
"","Aaron Gordon","Den","*","F","30.2","13","28.3","22.9","10.4","60","0.867","91","0.593","63","0.444","0.623","0.676","18.8","5.9","1.3","0.8","0.2","1.4","24.7","20.1","26","7.4","131.6","112.6"
"","Kristaps Porzingis","Atl","*","F-C","30.3","12","26.4","25.9","6.7","65","0.862","95","0.568","59","0.339","0.545","0.613","18.7","5.9","3.3","0.4","1.6","0.9","24.6","21.9","27.8","10.8","128.9","104.8"
"","DeMar DeRozan","Sac","*","G-F","36.3","21","33.1","21.1","7.7","105","0.905","232","0.517","44","0.386","0.527","0.599","18.4","3","3.6","1.3","0.2","1.1","21.4","22","25","7.1","122.3","119.3"
"","CJ McCollum","Was","*","G","34.2","19","30","24.4","8.1","55","0.782","147","0.469","137","0.409","0.539","0.566","18.4","3.3","3.4","0.8","0.2","1.3","21.6","21.7","25","7.9","114.9","122.9"
"","Keegan Murray","Sac","*","F","25.3","6","38.8","18.4","1.1","17","0.824","54","0.611","38","0.263","0.522","0.553","18.3","7","1.8","2.2","1.3","0.2","25.3","20.2","27.2","6.3","118.6","118.6"
"","Jaren Jackson Jr.","Mem","*","F-C","26.2","19","29.7","24.9","12.4","77","0.805","173","0.532","94","0.362","0.536","0.578","18.3","5.2","1.8","0.6","1.1","2","23.5","20.2","25.3","7.5","108.8","104"
"","Kon Knueppel","Cha","*","G-F","20.3","21","33.5","21.3","14.5","49","0.898","112","0.545","176","0.415","0.592","0.622","18.3","5.7","3","0.8","0.2","2.3","24","21.3","27","8.1","116.6","115.3"
"","Chet Holmgren","Okc","*","C-F","23.6","17","29.6","23.5","14.7","67","0.806","141","0.652","68","0.353","0.612","0.65","18.2","8","1.7","0.7","1.5","2.1","26.2","19.9","27.9","8.5","119.4","95.6"
"","Grayson Allen","Pho","*","G","30.2","14","31.6","20.9","11.1","34","0.794","63","0.508","121","0.438","0.606","0.628","17.9","2.9","4.2","1.6","0.3","1.6","20.8","22.1","25","7.6","125.9","112.3"
"","Ja Morant","Mem","*","G","26.3","12","28.8","32.5","18.7","69","0.942","135","0.444","60","0.167","0.385","0.477","17.9","3.5","7.6","1","0.1","3.8","21.4","25.5","29","10.8","99.1","110.6"
"","Trae Young","Atl","*","G","27.2","5","27.8","29.5","12.4","39","0.821","44","0.477","26","0.192","0.407","0.511","17.8","2","7.8","0.8","0.2","2","19.8","25.6","27.6","9.4","112.1","114.2"
"","Ryan Rollins","Mil","*","G","23.4","22","32.4","24.2","15.9","48","0.771","181","0.536","131","0.405","0.566","0.585","17.7","4","5.8","1.6","0.4","2.7","21.7","23.5","27.5","9.2","113","113.9"
"","Kevin Porter Jr.","Mil","*","G-F","25.6","3","21.7","23.4","6.2","6","0.833","16","0.563","14","0.714","0.8","0.812","17.7","2.7","4.3","1.7","0.3","0.7","20.3","22","24.7","10.9","159.6","116.7"
"","Andrew Nembhard","Ind","*","G-F","25.9","13","31","23.9","15.2","68","0.868","104","0.462","69","0.348","0.486","0.559","17.5","1.9","6.2","0.8","0.2","2.4","19.4","23.6","25.5","7.6","113.6","115.4"
"","Payton Pritchard","Bos","*","G","27.8","20","32.3","21.5","8.6","48","0.854","117","0.615","160","0.344","0.558","0.587","17.5","4.3","4.8","0.7","0.1","1.3","21.8","22.3","26.6","8.8","127.2","117"
"","Andrew Wiggins","Mia","*","F","30.8","18","33.1","20.7","12.4","51","0.725","161","0.565","87","0.368","0.56","0.582","17.5","5.1","2.9","1.1","1.1","1.9","22.6","20.4","25.4","7.7","112.4","109"
"","Jordan Poole","Nor","*","G","26.5","7","30.3","25.2","13.1","32","0.969","40","0.375","59","0.339","0.455","0.535","17.3","1.7","3.4","0.3","0.3","2.1","19","20.7","22.4","6.1","109","121.1"
"","Domantas Sabonis","Sac","*","F-C","29.6","11","33.2","22.8","16.2","51","0.725","125","0.56","20","0.2","0.524","0.564","17.2","12.3","3.7","1.2","0.2","2.5","29.5","20.9","33.2","11.1","113.1","107.6"
"","Stephon Castle","San","*","G","21.1","13","32","24.9","24.8","85","0.694","104","0.615","50","0.24","0.532","0.583","17.2","5.8","7.6","1.7","0.4","3.9","22.9","24.8","30.5","11.4","113.8","104.2"
"","De'Andre Hunter","Cle","*","F-G","28","18","28.9","23.3","12.1","70","0.829","111","0.586","121","0.331","0.539","0.586","17.1","4.6","2.7","0.7","0.2","1.8","21.7","19.8","24.3","8.3","114.9","109"
"","Amen Thompson","Hou","*","G-F","22.8","18","36.3","20.6","14.2","76","0.776","215","0.521","39","0.205","0.488","0.534","17.1","7","5.2","1.3","0.5","2.3","24.1","22.2","29.2","9.4","118.9","109.1"
"","Cooper Flagg","Dal","*","F","18.9","21","33.9","22.2","13.1","75","0.8","220","0.541","78","0.256","0.5","0.541","17","6.6","3.4","1.4","0.6","2.1","23.7","20.4","27","8.6","105.9","108.5"
"","Quentin Grimes","Phi","*","G","25.6","19","33.1","21.3","18.7","84","0.857","108","0.537","122","0.369","0.546","0.605","17","3.8","4.3","0.9","0.5","2.8","20.8","21.3","25.1","7.9","113.9","113.9"
"","Brandon Miller","Cha","*","F","23","6","25","29.8","9.3","25","0.84","40","0.525","47","0.277","0.466","0.52","17","2","3","0.5","1.2","1.5","19","20","22","7.5","108.9","116.2"
"","Kelly Oubre Jr.","Phi","*","F-G","30","12","34.8","18.4","10.8","38","0.789","82","0.622","67","0.343","0.574","0.606","16.8","5.1","1.3","1.1","0.8","1.5","21.8","18.1","23.2","5.5","117.1","112.7"
"","Jrue Holiday","Por","*","G","35.5","12","33.4","20.9","17.4","25","0.84","81","0.531","85","0.365","0.539","0.565","16.7","5.3","8.2","1.6","0.3","2.9","21.9","24.8","30.1","10.8","118.3","115.7"
"","Nikola Vucevic","Chi","*","C","35.1","19","30.8","21.1","10.9","34","0.794","159","0.56","93","0.398","0.573","0.592","16.6","9.9","3.6","0.7","0.4","1.6","26.5","20.3","30.2","10.9","120.8","110.8"
"","Onyeka Okongwu","Atl","*","F-C","25","21","30.5","21","13.6","58","0.759","145","0.621","108","0.37","0.593","0.618","16.4","7.3","2.9","0.9","1.1","1.9","23.7","19.2","26.6","9.2","116.6","104.4"
"","Ivica Zubac","Lac","*","C","28.7","21","32.4","20.3","13.3","52","0.75","254","0.598","0","0","0.598","0.619","16.3","11.6","2.6","0.5","1","1.9","27.9","19","30.5","9.7","125.3","113"
"","Collin Sexton","Cha","*","G","26.9","20","26.1","25","18.7","91","0.879","151","0.543","70","0.371","0.548","0.617","16.1","2.3","4.4","0.8","0.2","2.6","18.4","20.5","22.8","8.4","117.4","116.2"
"","Mikal Bridges","Nyk","*","G-F","29.3","19","35.1","16.2","8.1","33","0.788","125","0.616","101","0.416","0.619","0.636","16.1","4.5","4.4","2.1","1.3","1.1","20.6","20.5","24.9","7.8","135.5","110.2"
"","P.J. Washington","Dal","*","F","27.3","19","31.7","23.4","16.2","76","0.684","164","0.494","89","0.337","0.498","0.531","16","7.8","2.3","1","1.2","2.6","23.8","18.3","26.1","8.3","99","107.4"
"","Derrick White","Bos","*","G","31.4","19","33.3","22.7","8.4","56","0.839","123","0.423","161","0.317","0.452","0.492","16","4","5.1","1.7","1.4","1.4","20","21.1","25.1","8.3","113.6","115.1"
"","Immanuel Quickley","Tor","*","G","26.5","21","32.2","20.6","11.5","54","0.722","129","0.543","141","0.369","0.548","0.57","16","4.6","6.3","1.2","0","1.7","20.5","22.3","26.9","9.6","118","109.7"
"","Devin Vassell","San","*","G-F","25.3","19","33.1","19.4","7.8","36","0.861","116","0.509","133","0.383","0.544","0.57","15.9","3.6","2.4","1.2","0.4","1.1","19.5","18.3","21.9","6.2","117","111.4"
"","Ayo Dosunmu","Chi","*","G","25.9","18","27.4","20","11.6","50","0.84","118","0.568","73","0.493","0.634","0.667","15.8","2.7","3.2","0.4","0.2","1.4","18.4","18.9","21.6","7.5","125.8","117.1"
"","O.G. Anunoby","Nyk","*","F-G","28.4","12","31.1","20","13","25","0.76","68","0.574","79","0.392","0.582","0.601","15.8","5.6","2.2","1.9","0.7","1.8","21.4","18","23.6","7.5","117.6","107.6"
"","Deandre Ayton","Lal","*","C","27.4","18","29.4","19.3","17.1","33","0.667","184","0.712","0","0","0.712","0.715","15.8","8.6","0.9","0.7","1.1","2.1","24.4","16.7","25.3","6.8","126.8","107.7"
"","Jaime Jaquez Jr.","Mia","*","G","24.8","20","29.3","21.7","14.8","70","0.771","208","0.567","34","0.206","0.531","0.57","15.6","6.2","5.3","0.6","0.3","2.1","21.8","20.9","27.1","10.9","116.1","107.8"
"","Jalen Green","Pho","*","G","23.8","2","14.9","38.1","7.9","5","0.6","9","0.556","14","0.429","0.609","0.615","15.5","2","2","1","0","1","17.5","17.5","19.5","10.6","122.3","112.6"
"","Aaron Nesmith","Ind","*","G-F","26.1","11","30.4","21.2","5.1","39","0.795","64","0.359","83","0.373","0.473","0.518","15.5","4.5","1.5","0.8","0.3","0.7","19.9","17","21.5","6.2","111.9","114"
"","Jaden McDaniels","Min","*","F","25.2","19","31.7","19.3","14.4","43","0.86","153","0.549","66","0.455","0.589","0.62","15.5","4.8","2.4","1.2","1","1.9","20.3","17.9","22.7","7.1","117.3","106.1"
"","Kyshawn George","Was","*","F","22","17","31.2","21.8","22.1","45","0.733","108","0.491","93","0.441","0.57","0.593","15.4","5.9","4.8","1","0.9","3.4","21.4","20.2","26.2","9.7","106.2","112.7"
"","Jeremiah Fears","Nor","*","G","19.1","21","27.2","25.7","14.6","68","0.779","199","0.477","75","0.36","0.495","0.533","15.4","3.3","2.7","1.5","0.1","2.2","18.7","18.1","21.4","7.6","103.6","118.2"
"","LeBron James","Lal","*","F","40.9","5","32.3","22.2","14.8","20","0.55","41","0.537","22","0.318","0.516","0.529","15.2","4","7.2","0.8","0.2","2.2","19.2","22.4","26.4","9.4","112.9","114.7"
"","Ajay Mitchell","Okc","*","G","23.4","21","26.5","24.6","12.3","77","0.87","179","0.514","70","0.329","0.508","0.566","15.2","3.5","3.7","1.6","0.3","1.7","18.7","19","22.4","8.8","114","100.8"
"","VJ Edgecombe","Phi","*","G","20.3","16","36.4","19.3","11.9","38","0.737","136","0.441","86","0.36","0.48","0.505","15.1","5.8","4.1","1.3","0.4","1.9","20.8","19.1","24.9","7.8","108.7","111.7"
"","Jabari Smith Jr.","Hou","*","F","22.6","17","33.2","17.5","9.1","49","0.776","102","0.51","98","0.378","0.538","0.571","14.9","6.5","1.8","0.8","0.8","1.2","21.4","16.7","23.2","6.7","124.1","106.5"
"","Darius Garland","Cle","*","G","25.8","7","27.7","25.6","19.9","24","0.917","49","0.367","39","0.385","0.46","0.523","14.7","2.9","6.9","0.6","0","3.1","17.6","21.6","24.4","9.6","107.8","114.9"
"","Tobias Harris","Det","*","F","33.4","12","29.7","19.3","9.8","36","0.861","82","0.537","55","0.345","0.529","0.576","14.7","5.2","2.5","0.5","0.3","1.3","19.8","17.2","22.3","7.8","119.5","107.5"
"","Walker Kessler","Uta","*","C","24.4","5","30.8","16.3","30","20","0.7","29","0.69","8","0.75","0.784","0.786","14.4","10.8","3","1.4","1.8","3.2","25.2","17.4","28.2","10.1","128.6","106.4"
"","Jarrett Allen","Cle","*","C","27.6","15","26.1","20.6","14.3","66","0.773","139","0.59","4","0","0.573","0.625","14.3","7.6","1.8","1","0.9","1.6","21.9","16.1","23.7","8.9","124","110.4"
"","Paul George","Phi","*","F","35.6","5","23.1","26.8","12.1","18","0.722","29","0.517","29","0.31","0.491","0.531","14","4.8","3.4","2","0.6","1.6","18.8","17.4","22.2","10.6","109.7","110.1"
"","Obi Toppin","Ind","*","F","27.7","3","27.4","23.1","14.1","9","1","19","0.632","17","0.176","0.458","0.526","14","6.7","1.7","1","0","2","20.7","15.7","22.3","7.9","101.3","109.5"
"","Donte DiVincenzo","Min","*","G","28.8","20","31.2","17.2","12","49","0.837","49","0.531","156","0.397","0.58","0.616","14","4","3.6","1.1","0.4","1.4","17.9","17.6","21.5","7.5","124.5","111.2"
"","Rui Hachimura","Lal","*","F","27.8","19","33.1","15.4","9.1","34","0.735","114","0.596","76","0.461","0.634","0.649","14","3.6","0.9","0.5","0.2","1","17.6","14.9","18.5","4.3","123.2","115.6"
"","Sam Merrill","Cle","*","G","29.5","12","25.9","17.6","7.9","16","0.938","17","0.588","99","0.444","0.655","0.679","13.9","2.1","2.3","0.5","0.3","0.8","16","16.2","18.3","6.3","134.1","110.1"
"","Aaron Wiggins","Okc","*","G","26.9","10","26.8","20.7","8","9","0.667","52","0.519","63","0.413","0.574","0.58","13.8","3.4","2.4","0.5","0.7","1","17.2","16.2","19.6","7.2","116.6","103"
"","Anfernee Simons","Bos","*","G","26.5","20","24","23.1","10.6","32","0.844","96","0.5","123","0.407","0.562","0.586","13.7","2.2","2.6","0.5","0.2","1.3","15.9","16.2","18.4","7.1","118","114.4"
"","Reed Sheppard","Hou","*","G","21.4","18","25.2","19.8","10.5","21","0.714","79","0.532","109","0.45","0.614","0.624","13.7","2.9","3.3","1.7","0.5","1.2","16.6","16.9","19.8","8.1","130.3","107.7"
"","Zach Edey","Mem","*","C","23.6","8","25.4","19","19.2","22","0.818","64","0.688","3","0.333","0.679","0.711","13.6","11.1","0.9","0.8","2.3","2","24.8","14.5","25.6","8.1","128.1","101.7"
"","Russell Westbrook","Sac","*","G","37.1","21","28.2","24.2","21.4","53","0.642","137","0.467","109","0.376","0.51","0.529","13.6","7.1","6.8","1.2","0.1","3.2","20.7","20.3","27.4","12.3","104.6","113.4"
"","Matas Buzelis","Chi","*","F","21.1","20","28.2","20.3","14.6","55","0.8","123","0.537","93","0.344","0.528","0.566","13.6","5.6","1.6","0.8","1.5","1.9","19.2","15.2","20.7","7","105.7","111.1"
"","Nic Claxton","Bro","*","C","26.6","20","30","18.5","14.4","99","0.697","174","0.575","10","0.1","0.552","0.598","13.6","7.5","4","0.7","1.3","1.6","21.1","17.6","25.1","9.9","127.4","115.5"
"","Jalen Williams","Okc","*","G-F","24.6","2","31.7","23.5","6.2","6","1","29","0.31","1","1","0.35","0.414","13.5","6","6.5","1","2","1","19.5","20","26","10.2","99.8","100"
"","Jonathan Kuminga","Gol","*","F","23.2","14","27.1","22.6","20.4","48","0.771","102","0.539","42","0.333","0.528","0.572","13.5","6.2","2.8","0.4","0.3","2.6","19.7","16.3","22.5","9.1","106","109.9"
"","Collin Gillespie","Pho","*","G","26.4","22","26.8","19.9","14.4","24","0.833","77","0.455","154","0.442","0.593","0.609","13.4","3.8","5","1.2","0.3","1.8","17.2","18.3","22.1","9.5","124.2","114.1"
"","Santi Aldama","Mem","*","F-C","24.9","21","26.1","20.9","9","49","0.673","138","0.565","93","0.333","0.539","0.558","13.4","6.6","3","1","0.8","1.1","20","16.4","23","9.8","116.2","111.2"
"","Anthony Black","Orl","*","G","21.9","21","27.7","20.8","16.6","74","0.676","139","0.554","76","0.342","0.54","0.57","13.4","3.2","2.8","1.4","0.7","2","16.7","16.2","19.5","7.1","108","106.9"
"","Jalen Suggs","Orl","*","G","24.5","16","24.4","23.9","23.1","48","0.917","65","0.646","91","0.319","0.548","0.607","13.4","3.9","4.8","1.9","0.6","2.9","17.4","18.2","22.1","10.3","111.9","100.7"
"","Saddiq Bey","Nor","*","G-F","26.6","20","28.3","18.6","5.7","53","0.66","106","0.509","110","0.373","0.535","0.556","13.3","6","2.3","1","0.1","0.7","19.3","15.6","21.5","8","122.6","121.3"
