"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Julian Phillips","Chi","*","F","22.1","18","8.6","12.2","4.5","4","0.75","20","0.65","22","0.273","0.524","0.537","2.6","1.3","0.2","0.4","0.3","0.1","3.9","2.8","4.1","4.1","121.3","110.5"
"","JD Davison","Hou","*","G","23.2","8","7.1","10.1","7.7","2","0","5","0.8","7","0.571","0.833","0.776","2.5","0.1","1","0.4","0.1","0.1","2.6","3.5","3.6","3.5","158.8","112"
"","Isaiah Livers","Pho","*","F","27.3","13","12.2","9.7","14.5","6","0.833","5","0.6","24","0.292","0.466","0.506","2.5","2.2","0.4","0.5","0.3","0.4","4.6","2.8","5","4.3","108.7","109.4"
"","GG Jackson","Mem","*","F","21","8","6.8","26","6.6","9","0.667","16","0.438","12","0","0.25","0.313","2.5","1.8","0.3","0.5","0.1","0.3","4.3","2.8","4.5","6.5","73.9","106"
"","Jahmir Young","Mia","*","G","25.2","4","4.2","26.7","9.1","0","0","6","0.333","4","0.5","0.5","0.5","2.5","0.3","0.8","0","0","0.3","2.8","3.3","3.5","8","101.4","102"
"","Hugo Gonzalez","Bos","*","G","19.8","15","11","11.2","14.6","5","0.4","22","0.409","13","0.462","0.514","0.511","2.5","1.7","0.7","0.8","0.1","0.4","4.2","3.2","4.9","5.2","109.2","101.3"
"","Yang Hansen","Por","*","C","20.4","11","6.9","23.7","16.5","8","0.875","21","0.429","14","0.071","0.3","0.363","2.5","1.5","0.6","0","0.4","0.6","4.1","3.2","4.7","7.6","82","112"
"","John Konchar","Mem","*","G","29.7","19","12.4","8.8","14.5","4","0.5","17","0.706","24","0.292","0.549","0.55","2.5","2.8","1.2","0.8","0.4","0.4","5.3","3.6","6.4","6.6","117.5","108.7"
"","Gui Santos","Gol","*","F","23.4","15","7.3","18.3","24.3","6","0.667","10","0.6","24","0.292","0.485","0.505","2.5","1.5","0.3","0.3","0.1","0.7","4","2.8","4.3","5.7","93","100.7"
"","Elijah Harkless","Uta","*","G","25.8","7","9.4","11.1","20.9","9","0.778","4","0.5","7","0.286","0.455","0.568","2.4","0.9","0.7","0.6","0","0.4","3.3","3.1","4","4.9","114.9","108.7"
